outcount,reliable
13,0
4,0
1,0
17,1
9865,1
4416,1
2687,2.3120225644380634e-05
4217,0.011380672278241835
3,0.0014268983273461476
2,0.00024730052123989884
1,5.24512203650605e-06
1,5.24512203650605e-06
0,9.833014584054336e-06
1,5.24512203650605e-06
0,5.804824169987146e-06
1,5.24512203650605e-06
3,5.24512203650605e-06
0,5.25243584067342e-06
0,7.5390683102801926e-06
0,5.25243584067342e-06
4,5.24512203650605e-06
0,0.00019772700609447708
0,0.0001775715285240884
4,5.24512203650605e-06
7,5.24512203650605e-06
0,0.00019772700609447708
0,0.00019772700609447708
1,5.24512203650605e-06
0,5.25243584067342e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,5.25243584067342e-06
0,0.00019772700609447708
6,5.24512203650605e-06
0,9.140832528029722e-05
0,5.25243584067342e-06
0,1.0764971650397794e-05
1,5.24512203650605e-06
1,5.24512203650605e-06
0,9.140832528029722e-05
1,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,9.140832528029722e-05
1,5.24512203650605e-06
0,0.00026373473176787953
0,5.25243584067342e-06
0,5.702946053116107e-06
0,9.140832528029722e-05
0,5.24512203650605e-06
0,9.140832528029722e-05
0,5.25243584067342e-06
0,7.5390683102801926e-06
0,7.5390683102801926e-06
1,5.24512203650605e-06
4,5.24512203650605e-06
0,5.25243584067342e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,9.140832528029722e-05
0,5.473707296351791e-06
0,9.140832528029722e-05
0,9.140832528029722e-05
0,9.140832528029722e-05
0,7.5390683102801926e-06
0,0.00019772700609447708
0,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,0.0003902088901524481
0,0.0001775715285240884
0,9.840328388221706e-06
0,0.00019772700609447708
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.25243584067342e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,9.660535813710255e-06
0,0.00019772700609447708
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.25243584067342e-06
0,7.5390683102801926e-06
0,5.25243584067342e-06
2,5.24512203650605e-06
0,9.140832528029722e-05
1,5.24512203650605e-06
0,5.25243584067342e-06
0,5.24512203650605e-06
0,9.140832528029722e-05
0,0.0001775715285240884
0,3.441719750792777e-05
0,0.00019772700609447708
0,7.5390683102801926e-06
0,0.00019772700609447708
0,9.140832528029722e-05
0,9.140832528029722e-05
0,7.5390683102801926e-06
0,9.140832528029722e-05
0,7.5390683102801926e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,9.140832528029722e-05
0,0.00026373473176787953
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.25243584067342e-06
0,0.00019772700609447708
1,5.24512203650605e-06
0,0.0009530403577182089
2,9.660535813710255e-06
0,9.833014584054336e-06
1,5.24512203650605e-06
0,7.5390683102801926e-06
1,5.24512203650605e-06
0,9.140832528029722e-05
2,5.24512203650605e-06
0,5.32833431832721e-06
0,0.0005222243414992531
0,5.24512203650605e-06
0,9.140832528029722e-05
0,0.00019772700609447708
0,0.0001775715285240884
0,0.00019772700609447708
0,5.702946053116107e-06
1,5.24512203650605e-06
0,5.25243584067342e-06
0,9.833014584054336e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,9.660535813710255e-06
2,5.24512203650605e-06
0,5.24512203650605e-06
0,5.25243584067342e-06
0,5.25243584067342e-06
0,9.140832528029722e-05
3,5.24512203650605e-06
0,0.0001775715285240884
1,5.24512203650605e-06
0,7.5390683102801926e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.643782511607554e-06
2,5.24512203650605e-06
0,5.294571778026612e-06
0,0.00019772700609447708
0,0.0001775715285240884
1,5.24512203650605e-06
0,5.24512203650605e-06
0,9.140832528029722e-05
0,0.00034989793501167074
1,5.24512203650605e-06
0,5.25243584067342e-06
